model_class,field_observer_model,engineer_model,postmortem,random_seed,easy_rounds,round_time_budget_seconds,n,mean_success_fraction,std_success_fraction,min_success_fraction,max_success_fraction,mean_success_count
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,150,5,0.08,0.049888765156985884,0.0,0.13333333333333333,1.2
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,250,5,0.17333333333333334,0.07999999999999999,0.06666666666666667,0.26666666666666666,2.6
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,450,5,0.42666666666666664,0.13063945294843615,0.2,0.6,6.4
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,800,5,0.7066666666666667,0.0679869268479038,0.6,0.8,10.6
closed,claude-opus-4-7,claude-opus-4-7,False,False,True,2000,5,0.9333333333333333,0.059628479399994376,0.8666666666666667,1.0,14.0
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,150,3,0.26666666666666666,0.05443310539518172,0.2,0.3333333333333333,4.0
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,250,3,0.24444444444444446,0.11331154474650633,0.13333333333333333,0.4,3.6666666666666665
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,450,3,0.4222222222222222,0.08314794192830981,0.3333333333333333,0.5333333333333333,6.333333333333333
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,800,3,0.4888888888888889,0.13698697784375502,0.3333333333333333,0.6666666666666666,7.333333333333333
closed,claude-opus-4-7,claude-opus-4-7,False,True,False,2000,3,0.8222222222222223,0.03142696805273544,0.8,0.8666666666666667,12.333333333333334
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,150,3,0.044444444444444446,0.06285393610547088,0.0,0.13333333333333333,0.6666666666666666
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,250,3,0.26666666666666666,0.09428090415820632,0.13333333333333333,0.3333333333333333,4.0
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,450,3,0.5555555555555556,0.17497795275581804,0.4,0.8,8.333333333333334
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,800,3,0.7111111111111111,0.03142696805273544,0.6666666666666666,0.7333333333333333,10.666666666666666
closed,claude-opus-4-7,claude-opus-4-7,False,True,True,2000,3,0.8666666666666667,0.14401645996461915,0.6666666666666666,1.0,13.0
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,150,5,0.2666666666666667,0.28284271247461906,0.0,0.8,4.0
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,250,5,0.5066666666666666,0.2585429257288709,0.13333333333333333,0.8,7.6
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,450,4,0.5166666666666666,0.22298480267099421,0.26666666666666666,0.8666666666666667,7.75
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,800,5,0.9466666666666667,0.04988876515698587,0.8666666666666667,1.0,14.2
closed,claude-opus-4-7,claude-opus-4-7,True,False,True,2000,5,0.8666666666666666,0.26666666666666666,0.3333333333333333,1.0,13.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,150,3,0.31111111111111106,0.2454524670486058,0.0,0.6,4.666666666666667
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,250,3,0.3333333333333333,0.19626135258506328,0.06666666666666667,0.5333333333333333,5.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,450,3,0.6888888888888888,0.06285393610547088,0.6,0.7333333333333333,10.333333333333334
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,800,3,0.8666666666666667,0.14401645996461912,0.6666666666666666,1.0,13.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,False,2000,3,1.0,0.0,1.0,1.0,15.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,True,150,3,0.3333333333333333,0.10886621079036347,0.2,0.4666666666666667,5.0
closed,claude-opus-4-7,claude-opus-4-7,True,True,True,250,3,0.3111111111111111,0.11331154474650633,0.2,0.4666666666666667,4.666666666666667
closed,claude-opus-4-7,claude-opus-4-7,True,True,True,450,3,0.37777777777777777,0.15713484026367722,0.26666666666666666,0.6,5.666666666666667
closed,claude-opus-4-7,claude-opus-4-7,True,True,True,800,3,0.8444444444444444,0.08314794192830985,0.7333333333333333,0.9333333333333333,12.666666666666666
closed,claude-opus-4-7,claude-opus-4-7,True,True,True,2000,3,1.0,0.0,1.0,1.0,15.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,False,True,150,5,0.05333333333333333,0.049888765156985884,0.0,0.13333333333333333,0.8
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,False,True,250,5,0.16,0.06798692684790379,0.06666666666666667,0.26666666666666666,2.4
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,False,True,450,5,0.27999999999999997,0.14236104336041747,0.13333333333333333,0.5333333333333333,4.2
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,False,True,800,5,0.8533333333333333,0.04988876515698587,0.8,0.9333333333333333,12.8
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,False,True,2000,5,0.76,0.25508168626278654,0.3333333333333333,1.0,11.4
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,False,150,3,0.19999999999999998,0.14401645996461912,0.06666666666666667,0.4,3.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,False,250,3,0.17777777777777778,0.1257078722109418,0.0,0.26666666666666666,2.6666666666666665
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,False,450,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,5.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,False,800,3,0.6222222222222222,0.1571348402636772,0.4,0.7333333333333333,9.333333333333334
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,False,2000,3,0.9333333333333332,0.09428090415820632,0.8,1.0,14.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,True,150,3,0.022222222222222223,0.03142696805273544,0.0,0.06666666666666667,0.3333333333333333
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,True,250,3,0.22222222222222224,0.03142696805273544,0.2,0.26666666666666666,3.3333333333333335
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,True,450,3,0.4888888888888889,0.11331154474650633,0.3333333333333333,0.6,7.333333333333333
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,True,800,3,0.7555555555555555,0.13698697784375505,0.6,0.9333333333333333,11.333333333333334
closed,claude-sonnet-4-6,claude-sonnet-4-6,False,True,True,2000,3,0.8444444444444444,0.11331154474650634,0.7333333333333333,1.0,12.666666666666666
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,False,True,150,5,0.12,0.1484737163421339,0.0,0.4,1.8
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,False,True,250,5,0.33333333333333337,0.10327955589886445,0.13333333333333333,0.4,5.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,False,True,450,5,0.7466666666666667,0.12220201853215576,0.6,0.8666666666666667,11.2
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,False,True,800,5,0.9199999999999999,0.09797958971132714,0.7333333333333333,1.0,13.8
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,False,True,2000,5,0.9199999999999999,0.06531972647421808,0.8,1.0,13.8
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,False,150,3,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,4.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,False,250,3,0.4444444444444444,0.08314794192830982,0.3333333333333333,0.5333333333333333,6.666666666666667
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,False,450,3,0.5777777777777778,0.06285393610547088,0.5333333333333333,0.6666666666666666,8.666666666666666
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,False,800,3,0.8222222222222223,0.06285393610547094,0.7333333333333333,0.8666666666666667,12.333333333333334
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,False,2000,3,1.0,0.0,1.0,1.0,15.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,True,150,3,0.5777777777777777,0.174977952755818,0.3333333333333333,0.7333333333333333,8.666666666666666
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,True,250,3,0.35555555555555557,0.11331154474650633,0.2,0.4666666666666667,5.333333333333333
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,True,450,3,0.5777777777777778,0.1133115447465063,0.4666666666666667,0.7333333333333333,8.666666666666666
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,True,800,3,0.9333333333333332,0.05443310539518172,0.8666666666666667,1.0,14.0
closed,claude-sonnet-4-6,claude-sonnet-4-6,True,True,True,2000,3,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0,14.666666666666666
closed,gpt-5.4,gpt-5.4,False,False,True,150,5,0.026666666666666665,0.032659863237109045,0.0,0.06666666666666667,0.4
closed,gpt-5.4,gpt-5.4,False,False,True,250,5,0.17333333333333334,0.09043106644167023,0.06666666666666667,0.3333333333333333,2.6
closed,gpt-5.4,gpt-5.4,False,False,True,450,5,0.4533333333333333,0.07774602526460399,0.4,0.6,6.8
closed,gpt-5.4,gpt-5.4,False,False,True,800,5,0.72,0.12927146286443544,0.5333333333333333,0.8666666666666667,10.8
closed,gpt-5.4,gpt-5.4,False,False,True,2000,5,0.9866666666666667,0.02666666666666666,0.9333333333333333,1.0,14.8
closed,gpt-5.4,gpt-5.4,False,True,False,150,3,0.08888888888888889,0.08314794192830981,0.0,0.2,1.3333333333333333
closed,gpt-5.4,gpt-5.4,False,True,False,250,3,0.08888888888888889,0.0628539361054709,0.0,0.13333333333333333,1.3333333333333333
closed,gpt-5.4,gpt-5.4,False,True,False,450,3,0.2888888888888889,0.06285393610547088,0.2,0.3333333333333333,4.333333333333333
closed,gpt-5.4,gpt-5.4,False,True,False,800,3,0.688888888888889,0.20608041101101565,0.4,0.8666666666666667,10.333333333333334
closed,gpt-5.4,gpt-5.4,False,True,False,2000,3,1.0,0.0,1.0,1.0,15.0
closed,gpt-5.4,gpt-5.4,False,True,True,150,3,0.06666666666666667,0.05443310539518174,0.0,0.13333333333333333,1.0
closed,gpt-5.4,gpt-5.4,False,True,True,250,3,0.19999999999999998,0.10886621079036346,0.06666666666666667,0.3333333333333333,3.0
closed,gpt-5.4,gpt-5.4,False,True,True,450,3,0.48888888888888893,0.03142696805273544,0.4666666666666667,0.5333333333333333,7.333333333333333
closed,gpt-5.4,gpt-5.4,False,True,True,800,3,0.7555555555555555,0.11331154474650636,0.6,0.8666666666666667,11.333333333333334
closed,gpt-5.4,gpt-5.4,False,True,True,2000,3,0.9555555555555556,0.06285393610547088,0.8666666666666667,1.0,14.333333333333334
closed,gpt-5.4,gpt-5.4,True,False,True,150,6,0.19999999999999998,0.1018350154434631,0.06666666666666667,0.3333333333333333,3.0
closed,gpt-5.4,gpt-5.4,True,False,True,250,5,0.42666666666666664,0.21746008573733455,0.2,0.8,6.4
closed,gpt-5.4,gpt-5.4,True,False,True,450,5,0.6133333333333333,0.1654623152798781,0.4,0.8666666666666667,9.2
closed,gpt-5.4,gpt-5.4,True,False,True,800,5,0.9333333333333333,0.10327955589886448,0.7333333333333333,1.0,14.0
closed,gpt-5.4,gpt-5.4,True,False,True,2000,5,0.8533333333333333,0.17074997966487596,0.5333333333333333,1.0,12.8
closed,gpt-5.4,gpt-5.4,True,True,False,150,3,0.5333333333333333,0.14401645996461906,0.4,0.7333333333333333,8.0
closed,gpt-5.4,gpt-5.4,True,True,False,250,3,0.4222222222222222,0.1257078722109418,0.3333333333333333,0.6,6.333333333333333
closed,gpt-5.4,gpt-5.4,True,True,False,450,3,0.6888888888888888,0.11331154474650633,0.5333333333333333,0.8,10.333333333333334
closed,gpt-5.4,gpt-5.4,True,True,False,800,3,0.7555555555555555,0.20608041101101565,0.4666666666666667,0.9333333333333333,11.333333333333334
closed,gpt-5.4,gpt-5.4,True,True,False,2000,3,0.8222222222222223,0.06285393610547094,0.7333333333333333,0.8666666666666667,12.333333333333334
closed,gpt-5.4,gpt-5.4,True,True,True,150,3,0.3333333333333333,0.16329931618554522,0.13333333333333333,0.5333333333333333,5.0
closed,gpt-5.4,gpt-5.4,True,True,True,250,3,0.5777777777777778,0.12570787221094176,0.4,0.6666666666666666,8.666666666666666
closed,gpt-5.4,gpt-5.4,True,True,True,450,3,0.7777777777777778,0.03142696805273549,0.7333333333333333,0.8,11.666666666666666
closed,gpt-5.4,gpt-5.4,True,True,True,800,3,0.8222222222222223,0.03142696805273544,0.8,0.8666666666666667,12.333333333333334
closed,gpt-5.4,gpt-5.4,True,True,True,2000,3,0.9555555555555556,0.06285393610547088,0.8666666666666667,1.0,14.333333333333334
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,False,False,True,150,5,0.0,0.0,0.0,0.0,0.0
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,False,False,True,250,5,0.026666666666666665,0.032659863237109045,0.0,0.06666666666666667,0.4
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,False,False,True,450,5,0.026666666666666665,0.032659863237109045,0.0,0.06666666666666667,0.4
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,False,False,True,800,5,0.06666666666666668,0.07302967433402216,0.0,0.2,1.0
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,False,False,True,2000,5,0.1733333333333333,0.13063945294843618,0.06666666666666667,0.3333333333333333,2.6
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,True,False,True,150,5,0.0,0.0,0.0,0.0,0.0
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,True,False,True,250,3,0.044444444444444446,0.06285393610547088,0.0,0.13333333333333333,0.6666666666666666
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,True,False,True,450,4,0.049999999999999996,0.055277079839256664,0.0,0.13333333333333333,0.75
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,True,False,True,800,5,0.08,0.049888765156985884,0.0,0.13333333333333333,1.2
open,Qwen/Qwen3-32B,Qwen/Qwen3-32B,True,False,True,2000,5,0.17333333333333334,0.16653327995729061,0.0,0.4,2.6
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,False,False,True,150,5,0.0,0.0,0.0,0.0,0.0
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,False,False,True,250,5,0.0,0.0,0.0,0.0,0.0
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,False,False,True,450,5,0.08,0.02666666666666667,0.06666666666666667,0.13333333333333333,1.2
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,False,False,True,800,5,0.27999999999999997,0.11469767022723502,0.13333333333333333,0.4666666666666667,4.2
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,False,False,True,2000,5,0.5599999999999999,0.03265986323710904,0.5333333333333333,0.6,8.4
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,True,False,True,150,6,0.0,0.0,0.0,0.0,0.0
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,True,False,True,250,7,0.03809523809523809,0.06998542122237653,0.0,0.2,0.5714285714285714
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,True,False,True,450,10,0.24666666666666667,0.05999999999999999,0.13333333333333333,0.3333333333333333,3.7
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,True,False,True,800,10,0.31999999999999995,0.07180219742846006,0.13333333333333333,0.4,4.8
open,meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.3-70B-Instruct,True,False,True,2000,11,0.6727272727272727,0.11531089448751787,0.4666666666666667,0.8666666666666667,10.090909090909092
